NOMBRE;DEPORTE;TIPO;FECHA;PAIS;LUGAR;;
ARQUERIA;DEPORTIVO;DEPORTIVO;12/01/2017 0:00;TAILANDIA;BANGKOK;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;12/01/2017 0:00;COLOMBIA;TOCANCIPA;;
DEPORTES AÃ‰REOS;DEPORTIVO;DEPORTIVO;12/01/2017 0:00;META;VILLAVICENCIO - META;;
GIMNASIA;DEPORTIVO;DEPORTIVO;12/01/2017 0:00;BOYACA;COLOMBIA;;
GOLF;DEPORTIVO;DEPORTIVO;12/01/2017 0:00;COLOMBIA;BARRANQUILLA;;
LUCHA;DEPORTIVO;DEPORTIVO;12/01/2017 0:00;SIN DEFINIR;COLOMBIA;;
SQUASH;;;12/01/2017 0:00;;LIGA DE SQUASH DE BOGOTÃ€- NOGAL;;
ECUESTRE;DEPORTIVO;DEPORTIVO;11/30/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
GOLF;DEPORTIVO;DEPORTIVO;11/29/2017 12:00:00 AM;COLOMBIA;BUCARAMANGA;;
SAMBO;;;11/28/2017 12:00:00 AM;COLOMBIA;SOCCHI;;
GIMNASIA;CONCENTRACIÃ“N;CONCENTRACIÃ“N;11/27/2017 12:00:00 AM;CALI;POR DEFINIR;;
GIMNASIA;DEPORTIVO;DEPORTIVO;11/27/2017 12:00:00 AM;CALI;COLOMBIA;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;11/26/2017 12:00:00 AM;COLOMBIA;TOCANCIPA;;
AUTOMOVILISMO;DEPORTIVO;DEPORTIVO;11/26/2017 12:00:00 AM;COLOMBIA;MEDELLIN;;
BOXEO;DEPORTIVO;DEPORTIVO;11/26/2017 12:00:00 AM;MANAGUA, NICARAGUA;MANAGUA, NICARAGUA;;
JUDO;DEPORTIVO;DEPORTIVO;11/26/2017 12:00:00 AM;COLOMBIA;SANTA MARTA;;
ESQUI NAUTICO;DEPORTIVO;DEPORTIVO;11/25/2017 12:00:00 AM;COLOMBIA;BOGOTA;;
ESQUI NAUTICO;DEPORTIVO;DEPORTIVO;11/25/2017 12:00:00 AM;COLOMBIA;SANTANDER;;
SQUASH;;;11/25/2017 12:00:00 AM;COLOMBIA;LIGA DE  SQUASH DE CUNDINAMARCA;;
TENIS;DEPORTIVO;DEPORTIVO;11/25/2017 12:00:00 AM;COLOMBIA;BUCARAMANGA;;
